"PlummWeather"
"11/1/22 12:00 AM : 1 Month"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"11/1/22 12:35 AM","1017.6","73","45","51","72","8.4","60","61","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 12:40 AM","1017.5","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 12:45 AM","1017.6","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 12:50 AM","1017.7","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 12:55 AM","1017.6","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:00 AM","1017.7","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:05 AM","1017.8","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:10 AM","1017.9","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:15 AM","1017.8","73","45","50","72","8.4","60","60","60","96","59","60","0","","0.0","1","SSW","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:20 AM","1017.7","73","45","50","72","8.4","60","60","60","97","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:25 AM","1017.7","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:30 AM","1017.7","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:35 AM","1017.7","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 1:40 AM","1017.8","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 1:45 AM","1017.7","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 1:50 AM","1017.6","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 1:55 AM","1017.4","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:00 AM","1017.6","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:05 AM","1017.6","73","45","50","72","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:10 AM","1017.6","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:15 AM","1017.6","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:20 AM","1017.5","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:25 AM","1017.5","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:30 AM","1017.4","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:35 AM","1017.4","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 2:40 AM","1017.5","73","45","50","72","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 2:45 AM","1017.4","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 2:50 AM","1017.3","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 2:55 AM","1017.4","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:00 AM","1017.2","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:05 AM","1017.2","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:10 AM","1017.2","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:15 AM","1017.3","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:20 AM","1017.2","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:25 AM","1017.3","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:30 AM","1017.1","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:35 AM","1017.0","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:40 AM","1017.1","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.018","0.000"
"11/1/22 3:45 AM","1017.1","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 3:50 AM","1017.2","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 3:55 AM","1017.5","72","46","50","71","8.6","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:00 AM","1017.7","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:05 AM","1017.4","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:10 AM","1017.4","72","45","50","71","8.4","60","60","60","97","59","59","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:15 AM","1017.3","72","45","50","71","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:20 AM","1017.3","72","45","50","71","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:25 AM","1017.2","72","45","50","71","8.4","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:30 AM","1017.2","72","46","50","71","8.6","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:35 AM","1017.2","72","46","50","71","8.6","60","60","60","97","59","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:40 AM","1017.2","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:45 AM","1017.2","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:50 AM","1017.1","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 4:55 AM","1017.1","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:00 AM","1017.0","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:05 AM","1017.0","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:10 AM","1017.0","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:15 AM","1017.0","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:20 AM","1016.8","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:25 AM","1016.8","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:30 AM","1016.8","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:35 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:40 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:45 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:50 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 5:55 AM","1016.5","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:00 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:05 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:10 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:15 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:20 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:25 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.017","0.000"
"11/1/22 6:30 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 6:35 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 6:40 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 6:45 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","1","SSW","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 6:50 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 6:55 AM","1016.6","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 7:00 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 7:05 AM","1016.8","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 7:10 AM","1016.8","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 7:15 AM","1016.7","72","46","50","71","8.6","60","60","60","98","60","60","0","","0.0","0","","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 7:20 AM","1016.7","72","46","50","71","8.6","60","61","60","98","60","60","0","","0.0","1","SSW","60","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.016","0.000"
"11/1/22 7:25 AM","1016.8","72","46","50","71","8.6","61","61","60","98","60","60","0","","0.0","1","SSW","61","62","62","60","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 7:30 AM","1016.8","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","2","SSW","61","62","62","60","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 7:35 AM","1016.8","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 7:40 AM","1016.8","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 7:45 AM","1016.8","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","3","0.02","5","0.00","0","0.0","0","0.015","0.000"
"11/1/22 7:50 AM","1016.9","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","5","0.04","7","0.00","0","0.0","0","0.015","0.000"
"11/1/22 7:55 AM","1016.9","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","7","0.05","7","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:00 AM","1017.0","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","8","0.06","9","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:05 AM","1017.0","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","7","0.05","9","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:10 AM","1017.1","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","12","0.09","14","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:15 AM","1017.1","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","12","0.09","14","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:20 AM","1017.1","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","14","0.10","14","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:25 AM","1017.0","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","17","0.12","21","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:30 AM","1017.0","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","61","0.00","0.00","21","0.15","23","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:35 AM","1017.1","72","46","50","71","8.6","61","61","61","98","60","60","0","","0.0","0","","61","62","62","61","0.00","0.00","21","0.15","23","0.00","0","0.0","0","0.015","0.000"
"11/1/22 8:40 AM","1017.2","72","47","51","71","8.8","61","61","61","98","60","61","0","","0.0","0","","61","62","62","62","0.00","0.00","33","0.24","42","0.00","0","0.0","0","0.014","0.000"
"11/1/22 8:45 AM","1017.3","72","47","51","71","8.8","61","61","61","98","60","61","0","","0.0","0","","61","62","62","62","0.00","0.00","29","0.21","30","0.00","0","0.0","0","0.014","0.000"
"11/1/22 8:50 AM","1017.2","72","46","50","71","8.6","61","61","61","99","61","61","0","","0.0","0","","61","62","62","61","0.00","0.00","22","0.16","28","0.00","0","0.0","0","0.014","0.000"
"11/1/22 8:55 AM","1017.2","72","47","51","71","8.8","61","61","61","99","61","61","0","","0.0","0","","61","62","62","62","0.00","0.00","31","0.22","35","0.00","0","0.0","0","0.014","0.000"
"11/1/22 9:00 AM","1017.1","72","47","51","71","8.8","61","61","61","99","61","61","0","","0.0","0","","61","62","62","62","0.00","0.00","33","0.24","37","0.00","0","0.0","0","0.014","0.000"
"11/1/22 9:05 AM","1017.0","72","47","51","71","8.8","61","61","61","99","61","61","0","","0.0","0","","61","62","62","62","0.00","0.00","31","0.22","39","0.00","0","0.0","0","0.014","0.000"
"11/1/22 9:10 AM","1017.1","72","47","51","71","8.8","61","61","61","99","61","61","0","","0.0","0","","61","62","62","64","0.00","0.00","77","0.55","111","0.00","0","0.0","0","0.014","0.000"
"11/1/22 9:15 AM","1017.2","72","47","51","71","8.8","61","61","61","99","61","61","0","","0.0","0","","61","62","62","64","0.00","0.00","77","0.55","93","0.00","0","0.0","0","0.014","0.000"
"11/1/22 9:20 AM","1017.2","72","47","51","71","8.8","61","61","61","99","61","61","0","","0.0","0","","61","62","62","62","0.00","0.00","40","0.29","54","0.00","0","0.0","0","0.013","0.000"
"11/1/22 9:25 AM","1017.3","72","47","51","72","8.8","61","61","61","98","61","61","0","","0.0","0","","61","62","62","62","0.00","0.00","27","0.19","35","0.00","0","0.0","0","0.013","0.000"
"11/1/22 9:30 AM","1017.4","72","48","52","72","8.9","61","61","61","98","61","61","0","","0.0","0","","61","62","62","63","0.00","0.00","43","0.31","49","0.00","0","0.0","0","0.013","0.000"
"11/1/22 9:35 AM","1017.3","73","47","51","72","8.8","61","61","61","98","61","61","0","","0.0","0","","61","62","62","63","0.00","0.00","50","0.36","56","0.00","0","0.0","0","0.013","0.000"
"11/1/22 9:40 AM","1017.3","73","47","51","72","8.8","61","61","61","98","61","61","0","","0.0","0","","61","62","62","64","0.00","0.00","75","0.54","81","0.00","0","0.0","0","0.013","0.000"
"11/1/22 9:45 AM","1017.2","73","47","51","72","8.8","61","61","61","99","61","61","0","","0.0","0","","61","63","63","64","0.00","0.00","65","0.47","67","0.00","0","0.0","0","0.012","0.000"
